season,roster_tier,mean_worp,median_worp,min_worp,max_worp,n
2024,16,-0.4941736979166666,-0.4975998437499999,-0.52203528125,-0.4566379062499999,12
2024,17,-0.5624326184895833,-0.554037671875,-0.6172164687499997,-0.5229086874999997,12
2024,18,-0.6660225520833333,-0.6676321523437498,-0.7253837109374996,-0.6201900937499998,12
2024,19,-0.7976068639322915,-0.7925281328124999,-0.8798306640624998,-0.734462234375,12
2024,20,-1.0553761552734373,-1.0546503437499999,-1.2098511874999998,-0.8888712656249999,8
2025,1,1.777105388671875,1.5590050781250002,1.217497578125,2.9249745000000003,12
2025,2,1.0360442389322917,1.004542015625,0.9179704765625,1.2112848984375002,12
2025,3,0.7592237519531251,0.7873913750000001,0.6100829296875001,0.8756564609375002,12
2025,4,0.473479005859375,0.4818006718750002,0.3286161249999998,0.6012847656250002,12
2025,5,0.19401422265625004,0.18752649999999996,0.1225086171875002,0.2866515234375002,12
2025,6,0.023018213541666655,0.0173800039062499,-0.0251837968750002,0.0947423828124999,12
2025,7,-0.0540631953124999,-0.0592213203124998,-0.070119578125,-0.032388375,12
2025,8,-0.10052238932291661,-0.1039153476562499,-0.1217866796875001,-0.072005890625,12
2025,9,-0.14614470052083328,-0.1510433671875,-0.1586417343749999,-0.12476890625,12
2025,10,-0.17847778971354158,-0.18011378906249986,-0.187673359375,-0.1636008671874998,12
2025,11,-0.20943981119791663,-0.20881434765625004,-0.2293832265625,-0.1920417812499999,12
2025,12,-0.2590234309895833,-0.26032225781249996,-0.2766525390624999,-0.2363473828125001,12
2025,13,-0.3002404023437499,-0.30113456250000004,-0.3236079843749999,-0.2772603906249998,12
2025,14,-0.36094069075520835,-0.36686729296874987,-0.3812409296875,-0.332660359375,12
2025,15,-0.39530358984374986,-0.3936102109374998,-0.4124702499999999,-0.3820555859374998,12
2025,16,-0.44355969986979155,-0.4438239023437499,-0.4701752890625,-0.4149342265624999,12
2025,17,-0.5420218828125,-0.5503151601562498,-0.579768015625,-0.4910715859375,12
2025,18,-0.6636389583333333,-0.6782383046875,-0.7039946640625,-0.5810607578125,12
2025,19,-0.7999082447916667,-0.8102178671874999,-0.8549114765625,-0.7058972421874998,12
2025,20,-1.0327764550781249,-1.05679754296875,-1.2645063671875,-0.8683595703124999,12
2025,21,-1.280696765625,-1.280696765625,-1.280696765625,-1.280696765625,1
