season,week,player_id,player_name,position,weekly_worp,fantasy_points,capturability,reason,latest_drop_week,latest_drop_created_utc,latest_drop_transaction_id,player_name_worp,position_worp,weekly_worp_worp,fantasy_points_worp,carries,targets,receptions,pass_attempts,rush_yards,rec_yards,pass_yards,rush_tds,rec_tds,pass_tds,total_tds,scrimmage_yards,volume,volume_band,zero_td,has_td,low_volume,mid_volume,high_volume
2023,6,6865,Colby Parkinson,TE,0.0101207265625,7.9,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Colby Parkinson,TE,0.0101207265625,7.9,0.0,5.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,MID,True,False,False,True,False
2023,6,7694,Tommy Tremble,TE,0.0053411796874999,7.5,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Tommy Tremble,TE,0.0053411796874999,7.5,0.0,2.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,LOW,True,False,True,False,False
2023,6,11256,Tyson Bagent,QB,0.0122604609375,10.62,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Tyson Bagent,QB,0.0122604609375,10.62,2.0,0.0,0.0,14.0,4.0,0.0,83.0,1.0,0.0,0.0,1.0,4.0,16.0,LOW,False,True,True,False,False
2023,6,7064,Darrynton Evans,RB,0.0005414140624999,7.7,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Darrynton Evans,RB,0.0005414140624999,7.7,9.0,1.0,1.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,10.0,MID,True,False,False,True,False
2023,7,5985,Foster Moreau,TE,0.0390982187499999,10.3,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Foster Moreau,TE,0.0390982187499999,10.3,0.0,4.0,3.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,MID,True,False,False,True,False
2023,7,4198,Jamal Agnew,WR,0.0041830703124999,8.200000000000001,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Jamal Agnew,WR,0.0041830703124999,8.200000000000001,1.0,6.0,4.0,0.0,-1.0,36.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,MID,True,False,False,True,False
2023,7,6865,Colby Parkinson,TE,0.0135154921874999,7.6,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Colby Parkinson,TE,0.0135154921874999,7.6,0.0,2.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,LOW,True,False,True,False,False
2023,7,8181,Connor Heyward,RB,0.00141215625,7.300000000000001,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Connor Heyward,RB,0.00141215625,7.300000000000001,0.0,3.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,LOW,True,False,True,False,False
2023,7,4443,Pharaoh Brown,TE,0.0466697187499999,11.1,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Pharaoh Brown,TE,0.0466697187499999,11.1,0.0,2.0,2.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,LOW,True,False,True,False,False
2023,7,10867,Jake Bobo,WR,0.0887364296874999,17.1,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Jake Bobo,WR,0.0887364296874999,17.1,0.0,5.0,4.0,0.0,0.0,61.0,0.0,0.0,1.0,0.0,1.0,61.0,5.0,MID,False,True,False,True,False
