start_rank,end_rank,rank_gap,start_mean_worp,end_mean_worp,worp_cost,worp_cost_per_rank
49,67,18,0.19467057291666653,-0.09962723958333347,0.2942978125,0.01634987847222222
50,53,3,0.1738351796874998,0.09840520833333333,0.07542997135416649,0.02514332378472216
50,56,6,0.1738351796874998,0.03880276041666656,0.13503241927083326,0.022505403211805542
50,62,12,0.1738351796874998,-0.04363427864583353,0.21746945833333334,0.018122454861111113
50,68,18,0.1738351796874998,-0.10278270312499997,0.27661788281249977,0.015367660156249987
51,54,3,0.12602613541666643,0.0802969817708331,0.04572915364583334,0.01524305121527778
51,57,6,0.12602613541666643,0.020070510416666704,0.10595562499999973,0.01765927083333329
51,63,12,0.12602613541666643,-0.06281019531250007,0.1888363307291665,0.015736360894097207
51,69,18,0.12602613541666643,-0.1056573307291669,0.23168346614583335,0.01287130367476852
52,55,3,0.10429038802083324,0.05583757552083337,0.048452812499999866,0.016150937499999955
52,58,6,0.10429038802083324,0.011361109374999937,0.0929292786458333,0.015488213107638883
52,64,12,0.10429038802083324,-0.067085796875,0.17137618489583323,0.014281348741319436
52,70,18,0.10429038802083324,-0.1149371536458334,0.21922754166666664,0.012179307870370368
53,56,3,0.09840520833333333,0.03880276041666656,0.059602447916666766,0.019867482638888923
53,59,6,0.09840520833333333,-0.008262338541666766,0.10666754687500009,0.017777924479166683
53,65,12,0.09840520833333333,-0.07571187760416674,0.17411708593750008,0.01450975716145834
53,71,18,0.09840520833333333,-0.11707457552083333,0.21547978385416666,0.01197109910300926
54,57,3,0.0802969817708331,0.020070510416666704,0.060226471354166394,0.0200754904513888
54,60,6,0.0802969817708331,-0.018146135416666903,0.0984431171875,0.016407186197916666
54,66,12,0.0802969817708331,-0.09100454166666679,0.17130152343749988,0.01427512695312499
54,72,18,0.0802969817708331,-0.1303280546874999,0.21062503645833297,0.011701390914351831
55,58,3,0.05583757552083337,0.011361109374999937,0.044476466145833435,0.014825488715277812
55,61,6,0.05583757552083337,-0.035886216145833434,0.0917237916666668,0.015287298611111133
55,67,12,0.05583757552083337,-0.09962723958333347,0.15546481510416685,0.01295540125868057
55,73,18,0.05583757552083337,-0.13252581770833335,0.18836339322916673,0.01046463295717593
56,59,3,0.03880276041666656,-0.008262338541666766,0.04706509895833333,0.015688366319444442
56,62,6,0.03880276041666656,-0.04363427864583353,0.08243703906250009,0.013739506510416681
56,68,12,0.03880276041666656,-0.10278270312499997,0.14158546354166654,0.011798788628472211
56,74,18,0.03880276041666656,-0.1437899401041667,0.18259270052083326,0.01014403891782407
57,60,3,0.020070510416666704,-0.018146135416666903,0.038216645833333604,0.012738881944444535
57,63,6,0.020070510416666704,-0.06281019531250007,0.08288070572916677,0.013813450954861127
57,69,12,0.020070510416666704,-0.1056573307291669,0.1257278411458336,0.010477320095486133
57,75,18,0.020070510416666704,-0.15485498697916678,0.1749254973958335,0.009718083188657417
58,61,3,0.011361109374999937,-0.035886216145833434,0.04724732552083337,0.015749108506944456
58,64,6,0.011361109374999937,-0.067085796875,0.07844690624999995,0.013074484374999992
58,70,12,0.011361109374999937,-0.1149371536458334,0.12629826302083333,0.01052485525173611
58,76,18,0.011361109374999937,-0.1617528541666667,0.17311396354166664,0.00961744241898148
59,62,3,-0.008262338541666766,-0.04363427864583353,0.03537194010416676,0.011790646701388921
59,65,6,-0.008262338541666766,-0.07571187760416674,0.06744953906249998,0.011241589843749997
59,71,12,-0.008262338541666766,-0.11707457552083333,0.10881223697916657,0.009067686414930548
59,77,18,-0.008262338541666766,-0.170889078125,0.16262673958333324,0.009034818865740736
60,63,3,-0.018146135416666903,-0.06281019531250007,0.044664059895833164,0.014888019965277721
60,66,6,-0.018146135416666903,-0.09100454166666679,0.07285840624999988,0.012143067708333314
60,72,12,-0.018146135416666903,-0.1303280546874999,0.11218191927083299,0.009348493272569416
60,78,18,-0.018146135416666903,-0.17663621093750004,0.15849007552083313,0.00880500419560184
61,64,3,-0.035886216145833434,-0.067085796875,0.031199580729166572,0.010399860243055524
61,67,6,-0.035886216145833434,-0.09962723958333347,0.06374102343750004,0.010623503906250007
61,73,12,-0.035886216145833434,-0.13252581770833335,0.09663960156249993,0.008053300130208328
61,79,18,-0.035886216145833434,-0.19329517708333332,0.1574089609374999,0.008744942274305549
62,65,3,-0.04363427864583353,-0.07571187760416674,0.03207759895833321,0.01069253298611107
62,68,6,-0.04363427864583353,-0.10278270312499997,0.05914842447916644,0.00985807074652774
62,74,12,-0.04363427864583353,-0.1437899401041667,0.10015566145833318,0.008346305121527765
62,80,18,-0.04363427864583353,-0.20297937239583344,0.15934509374999992,0.008852505208333328
63,66,3,-0.06281019531250007,-0.09100454166666679,0.02819434635416672,0.009398115451388906
63,69,6,-0.06281019531250007,-0.1056573307291669,0.042847135416666834,0.007141189236111139
63,75,12,-0.06281019531250007,-0.15485498697916678,0.09204479166666671,0.007670399305555559
63,81,18,-0.06281019531250007,-0.20851012760416668,0.1456999322916666,0.008094440682870368
64,67,3,-0.067085796875,-0.09962723958333347,0.032541442708333465,0.010847147569444488
64,70,6,-0.067085796875,-0.1149371536458334,0.047851356770833395,0.007975226128472233
64,76,12,-0.067085796875,-0.1617528541666667,0.0946670572916667,0.007888921440972226
64,82,18,-0.067085796875,-0.2351845182291666,0.1680987213541666,0.009338817853009255
65,68,3,-0.07571187760416674,-0.10278270312499997,0.02707082552083323,0.00902360850694441
65,71,6,-0.07571187760416674,-0.11707457552083333,0.041362697916666594,0.006893782986111099
65,77,12,-0.07571187760416674,-0.170889078125,0.09517720052083327,0.007931433376736106
65,83,18,-0.07571187760416674,-0.24267890624999988,0.16696702864583313,0.009275946035879619
66,69,3,-0.09100454166666679,-0.1056573307291669,0.014652789062500116,0.004884263020833372
66,72,6,-0.09100454166666679,-0.1303280546874999,0.039323513020833104,0.006553918836805517
66,78,12,-0.09100454166666679,-0.17663621093750004,0.08563166927083325,0.007135972439236104
66,84,18,-0.09100454166666679,-0.25010913541666663,0.15910459374999986,0.008839144097222215
67,70,3,-0.09962723958333347,-0.1149371536458334,0.01530991406249993,0.0051033046874999766
67,73,6,-0.09962723958333347,-0.13252581770833335,0.03289857812499988,0.005483096354166647
67,79,12,-0.09962723958333347,-0.19329517708333332,0.09366793749999985,0.007805661458333321
67,85,18,-0.09962723958333347,-0.25569057291666664,0.15606333333333317,0.008670185185185177
68,71,3,-0.10278270312499997,-0.11707457552083333,0.014291872395833363,0.004763957465277788
68,74,6,-0.10278270312499997,-0.1437899401041667,0.041007236979166736,0.006834539496527789
68,80,12,-0.10278270312499997,-0.20297937239583344,0.10019666927083347,0.008349722439236122
68,86,18,-0.10278270312499997,-0.2640185651041668,0.16123586197916684,0.00895754788773149
69,72,3,-0.1056573307291669,-0.1303280546874999,0.024670723958332988,0.008223574652777663
69,75,6,-0.1056573307291669,-0.15485498697916678,0.049197656249999874,0.008199609374999979
69,81,12,-0.1056573307291669,-0.20851012760416668,0.10285279687499978,0.008571066406249982
69,87,18,-0.1056573307291669,-0.27769827864583346,0.17204094791666658,0.00955783043981481
70,73,3,-0.1149371536458334,-0.13252581770833335,0.017588664062499954,0.005862888020833318
