season,week,player_id,player_name,position,weekly_worp,fantasy_points,observed_state,capturability,reason,evidence_tx_week,evidence_tx_type,evidence_tx_id,evidence_created_utc
2025,3,3200,Sterling Shepard,WR,0.0522692499999999,14.0,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,3.0,waiver,1276160695037104128,2025-09-23T10:22:08.918000+00:00
2025,3,7946,Jack Stoll,TE,0.0357823828125,12.1,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,3,8500,John FitzPatrick,TE,0.0256178749999999,11.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,3,5185,Allen Lazard,WR,0.0005787578124999,9.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,3,5973,Josh Oliver,TE,0.0032667734374999,9.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,3,11299,Zavier Scott,RB,0.0021060781249999,9.1,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,3.0,waiver,1276161884067745792,2025-09-23T10:26:52.405000+00:00
2025,3,12493,Oronde Gadsden,TE,0.0983575937499999,17.6,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,2.0,waiver,1272960261334011904,2025-09-14T14:24:46.062000+00:00
2025,3,6001,Drew Sample,TE,0.0459709843749999,13.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,4,7535,Hunter Long,TE,0.086528328125,16.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,4,9479,Darnell Washington,TE,0.0014997421874999,8.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,4,2749,Raheem Mostert,RB,0.0403120468749999,11.1,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,3.0,free_agent,1276402596487122944,2025-09-24T02:23:22.717000+00:00
2025,4,6869,Adam Trautman,TE,0.003480375,8.2,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,3.0,waiver,1274848546310328320,2025-09-19T19:28:08.282000+00:00
2025,5,10214,Davis Allen,TE,0.0005186093749999,8.4,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,5,11371,Julian Hill,TE,0.018656890625,10.2,FREE,AMBIGUOUS,TIMING_UNRESOLVED,6.0,waiver,1283563471232856064,2025-10-13T20:38:08.300000+00:00
2025,5,4082,Curtis Samuel,WR,0.0250981171874999,11.1,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,4.0,waiver,1276996300373524480,2025-09-25T17:42:32.754000+00:00
2025,5,5973,Josh Oliver,TE,0.0526089921875,13.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,5,8145,Jeremy Ruckert,TE,0.024840234375,10.8,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,5,6843,Albert Okwuegbunam,TE,0.0744918750000001,15.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,5,7891,Brock Wright,TE,0.02584278125,10.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,5,11783,Ryan Flournoy,WR,0.16727221875,24.8,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,5.0,waiver,1281453052338921472,2025-10-08T00:52:05.225000+00:00
2025,6,11994,Kameron Johnson,WR,0.089676578125,17.4,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,6.0,waiver,1283563272909373440,2025-10-13T20:37:21.015000+00:00
2025,6,5409,Tanner Hudson,TE,0.0684635078124999,15.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,6,8181,Connor Heyward,RB,0.009191640625,9.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,6,9479,Darnell Washington,TE,0.0703108671874999,15.2,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,6.0,waiver,1283959732410810368,2025-10-14T22:52:44.327000+00:00
2025,6,11433,Nate Adkins,TE,0.0433373906249999,12.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,6,12357,David Martin-Robinson,TE,0.0045718046874999,8.1,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,6,11371,Julian Hill,TE,0.0229165,10.1,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,6.0,waiver,1283563471232856064,2025-10-13T20:38:08.300000+00:00
2025,6,4080,Zay Jones,WR,0.06626671875,14.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,6,6853,Van Jefferson,WR,0.0532010468749999,13.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,6,10231,Elijah Higgins,TE,0.01651575,9.4,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,5.0,free_agent,1279622044761210880,2025-10-02T23:36:19.001000+00:00
2025,6,3269,Chris Moore,WR,0.0634392109374999,14.6,FREE,AMBIGUOUS,TIMING_UNRESOLVED,7.0,waiver,1285255215141908480,2025-10-18T12:40:31.479000+00:00
2025,7,4080,Zay Jones,WR,0.0186571484375,10.7,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,7,6960,Tyler Johnson,WR,0.0127243828125,10.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,7,6865,Colby Parkinson,TE,0.0448315468749999,12.7,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,7,9487,Parker Washington,WR,0.032410984375,12.3,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,6.0,waiver,1284042850505351168,2025-10-15T04:23:01.225000+00:00
2025,7,6853,Van Jefferson,WR,0.009312,9.6,FREE,AMBIGUOUS,TIMING_UNRESOLVED,8.0,waiver,1287231383151841280,2025-10-23T23:33:06.648000+00:00
2025,7,7891,Brock Wright,TE,0.015980734375,9.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,8,4177,Mack Hollins,WR,0.095306640625,17.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,8,8127,Charlie Kolar,TE,0.0091076484375,9.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,8,11608,Isaiah Williams,WR,0.0212654999999999,10.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,8,5121,Braxton Berrios,WR,0.0212654999999999,10.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,8,10871,Luke Schoonmaker,TE,0.0043110703125,8.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,8,6960,Tyler Johnson,WR,0.0806967031249999,16.4,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,9,8127,Charlie Kolar,TE,0.0541655781249999,13.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,9,7716,John Bates,TE,0.0024052031249999,8.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,9,8423,Brittain Brown,RB,0.0317957890624999,11.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,9,9481,Luke Musgrave,TE,0.0354613984375,11.4,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,9.0,waiver,1290802132378738688,2025-11-02T20:01:59.604000+00:00
2025,9,5409,Tanner Hudson,TE,0.0139765312499999,9.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,9,7585,Davis Mills,QB,0.02019175,10.080000000000002,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,9.0,waiver,1291593085079269376,2025-11-05T00:24:57.423000+00:00
2025,9,10214,Davis Allen,TE,0.0383579062499999,11.7,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,9,7039,Cody White,WR,0.0623216171875,16.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,9,10231,Elijah Higgins,TE,0.0217814687499999,10.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,10,12658,Jackson Hawes,TE,0.0320608203125001,10.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,10,3634,Kalif Raymond,WR,0.0415847421874999,12.1,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,10,7720,Kene Nwangwu,RB,0.0004380312499999,6.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,10,4177,Mack Hollins,WR,0.1192786796874999,20.6,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,10.0,waiver,1294005849974411264,2025-11-11T16:12:25.403000+00:00
2025,10,6865,Colby Parkinson,TE,0.130017859375,21.1,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,10,7842,Luke Farrell,TE,0.0404136015625,11.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,10,10214,Davis Allen,TE,0.033967453125,10.8,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,10,12048,George Holani,RB,0.0503815624999999,11.5,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,11,8145,Jeremy Ruckert,TE,0.0327208281249999,11.3,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,11,8147,John Metchie,WR,0.0563806484375,14.5,FREE,AMBIGUOUS,TIMING_UNRESOLVED,12.0,waiver,1299237545694986240,2025-11-26T02:41:18.861000+00:00
2025,11,9511,Keaton Mitchell,RB,0.0247339140624999,9.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,11,11377,Tyrell Shavers,WR,0.1274142265625,22.0,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,11.0,waiver,1296757319727587328,2025-11-19T06:25:46.910000+00:00
2025,11,4972,Mason Rudolph,QB,0.060600984375,18.68,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,11.0,waiver,1296645735806169088,2025-11-18T23:02:23.231000+00:00
2025,11,6865,Colby Parkinson,TE,0.0336516796874999,11.4,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,11,6920,Isaiah Hodgins,WR,0.0393098359374999,12.7,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,11,7607,Michael Carter,RB,0.0256403124999999,9.7,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,11.0,waiver,1294364429726535680,2025-11-12T15:57:17.476000+00:00
2025,11,10212,Josh Whyle,TE,0.0036458437499999,8.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,11,5409,Tanner Hudson,TE,0.0036458437499999,8.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,12,12658,Jackson Hawes,TE,0.0139133828125,8.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,12,6865,Colby Parkinson,TE,0.1214093359374999,20.1,FREE,AMBIGUOUS,TIMING_UNRESOLVED,13.0,waiver,1301843881645580288,2025-12-03T07:17:57.775000+00:00
2025,12,11068,Mitchell Tinsley,WR,0.0341765546875,11.4,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,12,11593,Brevyn Spann-Ford,TE,0.0120955859375,8.4,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,12,8147,John Metchie,WR,0.11608390625,20.0,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,12.0,waiver,1299237545694986240,2025-11-26T02:41:18.861000+00:00
2025,12,6154,David Sills,WR,0.0172111718749999,9.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2025,12,7607,Michael Carter,RB,0.0389553203125,11.8,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,11.0,waiver,1294364429726535680,2025-11-12T15:57:17.476000+00:00
2025,12,8489,Drew Ogletree,TE,0.03445190625,10.8,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
