pos_rank,seasons,mean_worp,median_worp,sd_worp
162,3,-0.7969699739583335,-0.7858254453125,0.02017126328707704
163,3,-0.8068362031250004,-0.810661515625,0.017938275976138146
164,3,-0.8135035937500003,-0.8136352578125001,0.01026873855380434
165,3,-0.8206963463541669,-0.8212400703125001,0.005411416500128675
166,3,-0.8270083567708335,-0.8289256875000001,0.007916521276343352
167,3,-0.8281490989583334,-0.829420375,0.0076835591748132615
168,3,-0.8381998984375002,-0.8361796562500001,0.01586455428323713
169,3,-0.8421776510416668,-0.8396858125,0.011873472651983729
170,3,-0.8502658046875,-0.8516678281250002,0.0073682643503613435
171,3,-0.8516331640625001,-0.8525699140625,0.006772211034223305
172,3,-0.8557104531250003,-0.8529985468750001,0.011285549121612217
173,3,-0.8637205364583336,-0.8600524140625,0.013296566400351876
174,3,-0.8647483802083337,-0.8600524140625,0.013449504449846437
175,3,-0.8721236484375,-0.8681553828125,0.009292359285996166
176,3,-0.8824576223958336,-0.8841026953125004,0.01188189250836783
177,3,-0.8879839479166668,-0.8956329843750004,0.015255829909180871
178,3,-0.8943488880208336,-0.8960716875000004,0.018661289344562623
179,3,-0.8996998463541668,-0.8971613515625003,0.014606480560500408
180,3,-0.9036624921875002,-0.9002738984375003,0.01650142424359776
181,3,-0.9095630416666668,-0.9166109531250004,0.01759600161188929
182,3,-0.9126155703125001,-0.9189190546875003,0.014370632768842883
183,3,-0.9168569401041667,-0.9260881875000002,0.017456263030892028
184,3,-0.9233150260416668,-0.9276444375000004,0.015655874385059557
185,3,-0.9286841953125001,-0.9279734218750002,0.02041324767166123
186,3,-0.934735859375,-0.9331187265625004,0.02098386863481659
187,3,-0.9442194140625002,-0.9433511093750004,0.02145193776388292
188,3,-0.9480884401041667,-0.9517263203125004,0.021689987384658996
189,3,-0.9532080729166669,-0.9520834140625004,0.02737090911340651
190,3,-0.9564989687500001,-0.958685046875,0.026694998360635002
191,3,-0.9633891328125,-0.9700128359375004,0.030649687314115773
192,3,-0.9689539401041669,-0.9721183437500004,0.036354775866347694
193,3,-0.9772929270833334,-0.9896175312500004,0.03828820934491667
194,3,-0.9860740234375002,-1.0043543906250003,0.04070278689880946
195,3,-0.9891531223958335,-1.0044228671875004,0.0380164869767681
196,3,-0.9918522734375,-1.0075905859375005,0.03628625168378574
197,3,-0.9935987265625,-1.0081455000000004,0.034439977350665736
198,3,-0.9976511510416667,-1.0124056484375,0.03259367975803492
199,3,-1.0035059036458334,-1.0150305703125002,0.02643032036516132
200,3,-1.0068438880208335,-1.0158192343750003,0.02132763719522056
201,3,-1.0112958984375,-1.0165784609375004,0.017383561305444772
202,3,-1.0134769505208334,-1.0180536015625004,0.01481853161301054
203,3,-1.0194437890625003,-1.0224443046875002,0.009790135164715623
