league_id,season,stratum,bench,capacity,lookback,test_week,QB,RB,WR,TE,status,capture,test_regret,signed_capture,gain_vs_old_choice
1201959553390891008,2025,SF_1TE,12,22,3,8,5.0,8.0,4.0,5.0,evaluated,1.5457803284375,0.037174939791666674,1.5021170544791669,0.04366327395833314
1201959553390891008,2025,SF_1TE,12,22,3,12,4.0,9.0,4.0,5.0,evaluated,1.6581511365625,0.18792450458333324,1.776159751770833,-0.11800861520833306
1201959553390891008,2025,SF_1TE,12,22,5,8,5.0,6.0,7.0,4.0,evaluated,1.4290811383333335,0.1142160688541664,1.4491806223958337,-0.020099484062500172
1201959553390891008,2025,SF_1TE,12,22,5,12,5.0,8.0,4.0,5.0,evaluated,1.7950254026041665,0.08090558864583319,1.8316239480208327,-0.036598545416666184
1180084795436826624,2025,SF_1TE,5,15,3,8,3.0,5.0,4.0,3.0,evaluated,2.048577415208334,0.05017146385416652,2.0317600723958336,0.016817342812500247
1180084795436826624,2025,SF_1TE,5,15,3,12,3.0,5.0,5.0,2.0,evaluated,2.320407243333333,0.07670333989583329,2.3971105832291664,-0.07670333989583344
1180084795436826624,2025,SF_1TE,5,15,5,8,3.0,5.0,4.0,3.0,evaluated,2.0407883811458336,0.07350368791666699,2.005832372083334,0.034956009062499405
1180084795436826624,2025,SF_1TE,5,15,5,12,3.0,6.0,4.0,2.0,evaluated,2.3546463732291665,0.14287035999999986,2.4975167332291663,-0.14287035999999986
1180084795436826624,2025,SF_1TE,12,22,3,8,5.0,5.0,9.0,3.0,evaluated,2.064189910729167,0.047856738854166636,2.081241409479167,-0.017051498749999894
1180084795436826624,2025,SF_1TE,12,22,3,12,5.0,8.0,6.0,3.0,evaluated,2.3501226752083326,0.021660450937500315,2.356898465625,-0.0067757904166674265
1180084795436826624,2025,SF_1TE,12,22,5,8,5.0,5.0,9.0,3.0,evaluated,2.013784125520834,0.08695565093749973,2.038328246770833,-0.02454412124999905
1180084795436826624,2025,SF_1TE,12,22,5,12,5.0,9.0,5.0,3.0,evaluated,2.4734135179166663,0.00871239750000008,2.450468294895833,0.02294522302083335
918260594971672576,2023,SF_2TE,5,16,3,8,4.0,3.0,5.0,4.0,evaluated,3.067810214583332,0.05339990916666645,3.025146117604166,0.04266409697916629
918260594971672576,2023,SF_2TE,5,16,3,12,3.0,3.0,6.0,4.0,evaluated,2.8744407976041657,0.0745140823958333,2.8744407976041657,0.0
918260594971672576,2023,SF_2TE,5,16,5,8,4.0,3.0,5.0,4.0,evaluated,3.032292196041666,0.0462299629166667,2.992127543124999,0.04016465291666682
918260594971672576,2023,SF_2TE,5,16,5,12,3.0,3.0,6.0,4.0,evaluated,2.856820152604166,0.08813756906249992,2.856820152604166,0.0
918260594971672576,2023,SF_2TE,12,23,3,8,5.0,8.0,5.0,5.0,evaluated,2.9966980843749993,0.08725513437500003,3.0677055672916658,-0.07100748291666648
918260594971672576,2023,SF_2TE,12,23,3,12,5.0,3.0,11.0,4.0,evaluated,2.8743595589583326,0.13661883218750015,2.9386282197916658,-0.06426866083333316
918260594971672576,2023,SF_2TE,12,23,5,8,5.0,8.0,5.0,5.0,evaluated,2.991877501979166,0.05973261125000029,3.0312344236458326,-0.03935692166666671
918260594971672576,2023,SF_2TE,12,23,5,12,5.0,3.0,10.0,5.0,evaluated,2.8684215131249995,0.10633268114583345,2.9321493012499995,-0.06372778812500002
920016644603248640,2023,SF_2TE,5,17,3,8,5.0,3.0,5.0,4.0,evaluated,3.527908249791665,0.08968936697916667,3.5081093908333325,0.019798858958332666
