league_id,season,stratum,roster_id,week,baseline_size,active_capacity,owned_count,capacity_eligible
1048204852251164672,2024,1QB,12,10,18,24,28,False
1048204852251164672,2024,1QB,1,11,20,24,29,False
1048204852251164672,2024,1QB,2,11,23,24,27,False
1048204852251164672,2024,1QB,3,11,23,24,31,False
1048204852251164672,2024,1QB,4,11,19,24,29,False
1048204852251164672,2024,1QB,5,11,20,24,26,False
1048204852251164672,2024,1QB,6,11,22,24,30,False
1048204852251164672,2024,1QB,7,11,22,24,31,False
1048204852251164672,2024,1QB,8,11,19,24,30,False
1048204852251164672,2024,1QB,9,11,19,24,30,False
1048204852251164672,2024,1QB,10,11,26,24,33,False
1048204852251164672,2024,1QB,11,11,22,24,33,False
1048204852251164672,2024,1QB,12,11,18,24,28,False
1048204852251164672,2024,1QB,1,12,20,24,29,False
1048204852251164672,2024,1QB,2,12,23,24,27,False
1048204852251164672,2024,1QB,3,12,23,24,31,False
1048204852251164672,2024,1QB,4,12,18,24,29,False
1048204852251164672,2024,1QB,5,12,19,24,26,False
1048204852251164672,2024,1QB,6,12,21,24,30,False
1048204852251164672,2024,1QB,7,12,23,24,31,False
1048204852251164672,2024,1QB,8,12,17,24,30,False
1048204852251164672,2024,1QB,9,12,18,24,30,False
1048204852251164672,2024,1QB,10,12,25,24,33,False
1048204852251164672,2024,1QB,11,12,23,24,33,False
1048204852251164672,2024,1QB,12,12,18,24,28,False
1048204852251164672,2024,1QB,1,13,18,24,29,False
1048204852251164672,2024,1QB,2,13,23,24,27,False
1048204852251164672,2024,1QB,3,13,21,24,31,False
1048204852251164672,2024,1QB,4,13,18,24,28,False
1048204852251164672,2024,1QB,5,13,18,24,26,False
1048204852251164672,2024,1QB,6,13,19,24,30,False
1048204852251164672,2024,1QB,7,13,21,24,31,False
1048204852251164672,2024,1QB,8,13,18,24,30,False
1048204852251164672,2024,1QB,9,13,17,24,30,False
1048204852251164672,2024,1QB,10,13,21,24,33,False
1048204852251164672,2024,1QB,11,13,24,24,33,False
1048204852251164672,2024,1QB,12,13,18,24,28,False
1048204852251164672,2024,1QB,1,14,17,24,29,False
1048204852251164672,2024,1QB,2,14,22,24,27,False
1048204852251164672,2024,1QB,3,14,21,24,31,False
1048204852251164672,2024,1QB,4,14,17,24,27,False
1048204852251164672,2024,1QB,5,14,18,24,26,False
1048204852251164672,2024,1QB,6,14,19,24,31,False
1048204852251164672,2024,1QB,7,14,21,24,31,False
1048204852251164672,2024,1QB,8,14,19,24,30,False
1048204852251164672,2024,1QB,9,14,17,24,30,False
1048204852251164672,2024,1QB,10,14,22,24,33,False
1048204852251164672,2024,1QB,11,14,25,24,33,False
1048204852251164672,2024,1QB,12,14,18,24,28,False
1048204852251164672,2024,1QB,1,15,19,24,29,False
1048204852251164672,2024,1QB,2,15,21,24,27,False
1048204852251164672,2024,1QB,3,15,21,24,31,False
1048204852251164672,2024,1QB,4,15,19,24,27,False
1048204852251164672,2024,1QB,5,15,18,24,26,False
1048204852251164672,2024,1QB,6,15,18,24,31,False
1048204852251164672,2024,1QB,7,15,25,24,31,False
1048204852251164672,2024,1QB,8,15,19,24,30,False
1048204852251164672,2024,1QB,9,15,17,24,30,False
1048204852251164672,2024,1QB,10,15,21,24,33,False
1048204852251164672,2024,1QB,11,15,23,24,33,False
1048204852251164672,2024,1QB,12,15,16,24,28,False
1048901308398288896,2024,1QB,1,4,16,25,31,False
1048901308398288896,2024,1QB,2,4,15,25,30,False
1048901308398288896,2024,1QB,3,4,18,25,28,False
1048901308398288896,2024,1QB,4,4,18,25,31,False
1048901308398288896,2024,1QB,5,4,14,25,28,False
1048901308398288896,2024,1QB,6,4,19,25,28,False
1048901308398288896,2024,1QB,7,4,20,25,29,False
1048901308398288896,2024,1QB,8,4,20,25,30,False
1048901308398288896,2024,1QB,9,4,17,25,33,False
1048901308398288896,2024,1QB,10,4,17,25,31,False
1048901308398288896,2024,1QB,11,4,16,25,30,False
1048901308398288896,2024,1QB,12,4,22,25,32,False
1048901308398288896,2024,1QB,1,5,16,25,31,False
